Event Start Time ms	Peak Amplitude mV	Interspike Interval ms
1448.099975585937500	-45.076278686523438	949.400024414062500
2031.199951171875000	-54.680133819580078	583.099975585937500
2881.600097656250000	-54.735015869140625	850.399963378906250
3232.600097656250000	-54.600223541259766	350.899902343750000
3542.899902343750000	-47.348339080810547	310.300140380859370
3950.100097656250000	-62.319458007812500	407.299957275390620
4167.500000000000000	-43.883319854736328	217.399902343750000
4704.200195312500000	-49.661190032958984	536.700195312500000
4911.700195312500000	-58.874061584472656	207.500000000000000
5164.799804687500000	-49.118717193603516	253.100280761718750
5510.000000000000000	-56.174346923828125	345.199523925781250
6611.399902343750000	-42.064132690429688	1101.300415039062500
7130.700195312500000	-61.939937591552734	519.399780273437500
7338.899902343750000	-62.733081817626953	208.199798583984370
7861.399902343750000	-50.430385589599609	522.500000000000000
8126.600097656250000	-60.768630981445313	265.200103759765620
9148.599609375000000	-59.126625061035156	1021.900268554687500
9181.299804687500000	-47.547206878662109	32.699523925781250
9385.599609375000000	-53.882026672363281	204.400085449218750
10197.900390625000000	-51.819171905517578	812.200439453125000
10316.599609375000000	-54.169109344482422	118.699974060058590
10585.200195312500000	-43.478401184082031	268.699340820312500
11257.799804687500000	-51.714210510253906	672.500183105468750
11504.599609375000000	-48.480491638183594	246.800476074218750
12137.400390625000000	-42.330299377441406	632.899658203125000
12553.700195312500000	-63.136428833007813	416.299713134765620
13310.900390625000000	-52.137847900390625	757.200317382812500
13817.299804687500000	-62.712013244628906	506.400482177734370
13986.599609375000000	-53.606098175048828	169.299499511718750
14177.200195312500000	-71.306037902832031	190.599716186523440
14707.099609375000000	-57.954952239990234	529.900268554687500
14904.599609375000000	-55.076210021972656	197.500000000000000
15868.500000000000000	-59.382953643798828	963.900512695312500
16020.200195312500000	-42.281044006347656	151.699218750000000
16254.700195312500000	-48.452232360839844	234.500000000000000
16522.900390625000000	-52.281421661376953	268.201263427734370
16788.300781250000000	-51.863636016845703	265.298950195312500
17408.000000000000000	-50.817668914794922	619.800537109375000
17691.900390625000000	-48.986232757568359	283.900512695312500
17996.000000000000000	-43.499820709228516	304.099487304687500
18217.300781250000000	-47.373863220214844	221.299041748046870
18448.500000000000000	-47.204261779785156	231.200958251953120
18615.300781250000000	-63.929096221923828	166.799041748046870
19258.199218750000000	-39.551021575927734	642.900146484375000
19475.599609375000000	-44.809947967529297	217.300689697265620
19748.400390625000000	-43.822578430175781	272.900604248046880
19946.300781250000000	-50.599727630615234	197.898544311523440
20442.099609375000000	-57.000293731689453	495.800445556640620
20906.400390625000000	-51.446166992187500	464.300994873046870
21631.699218750000000	-62.384437561035156	725.298706054687500
21853.500000000000000	-42.209186553955078	221.800796508789060
22022.300781250000000	-64.804389953613281	168.799041748046870
22231.900390625000000	-58.104274749755859	209.601455688476560
22744.099609375000000	-45.441696166992188	512.198974609375000
22945.400390625000000	-60.644149780273438	201.300994873046870
23778.599609375000000	-59.424762725830078	833.198974609375000
24889.099609375000000	-44.696304321289063	1110.500000000000000
25345.599609375000000	-60.245006561279297	456.500000000000000
25588.900390625000000	-54.724979400634766	243.300994873046880
25970.000000000000000	-59.811321258544922	381.099487304687500
26097.099609375000000	-54.353340148925781	127.099502563476560
26671.800781250000000	-48.059352874755859	574.599914550781250
27234.900390625000000	-47.327907562255859	563.201049804687500
27811.699218750000000	-41.762962341308594	576.798706054687500
28021.099609375000000	-46.141571044921875	209.300689697265620
28228.800781250000000	-47.588878631591797	207.799163818359370
28664.099609375000000	-49.721122741699219	435.300445556640620
29253.400390625000000	-53.716678619384766	589.301025390625000
31110.599609375000000	-62.275531768798828	1857.198974609375000
31334.400390625000000	-47.846679687500000	223.699432373046880
31428.900390625000000	-68.979019165039063	94.601562500000000
31587.099609375000000	-45.159149169921875	158.199005126953120
31745.699218750000000	-57.675277709960937	158.599700927734370
31879.900390625000000	-47.967758178710938	134.201293945312500
31970.099609375000000	-52.761035919189453	90.099388122558594
32158.300781250000000	-50.415821075439453	188.299163818359370
32305.500000000000000	-49.725227355957031	147.200958251953120
32429.900390625000000	-46.201576232910156	124.298934936523440
32617.000000000000000	-54.446434020996094	187.101455688476560
32737.800781250000000	-57.027935028076172	120.898658752441410
32859.699218750000000	-40.572044372558594	121.902107238769530
32920.601562500000000	-50.964096069335938	60.898395538330078
32961.199218750000000	-53.625633239746094	40.500041961669922
33245.398437500000000	-61.173595428466797	284.300872802734370
33361.101562500000000	-52.223628997802734	115.699096679687500
33630.601562500000000	-40.942409515380859	269.500000000000000
33850.800781250000000	-55.161796569824219	220.199493408203120
33887.500000000000000	-53.062931060791016	36.601345062255859
34039.398437500000000	-57.283477783203125	152.000061035156250
34112.300781250000000	-44.837810516357422	72.898590087890625
34147.699218750000000	-47.556140899658203	35.300544738769531
34174.199218750000000	-48.704700469970703	26.500000000000000
34211.601562500000000	-56.561355590820313	37.499958038330078
34248.101562500000000	-54.616386413574219	36.500000000000000
34685.199218750000000	-43.044235229492187	437.101593017578120
34719.601562500000000	-49.453350067138672	34.296833038330078
34828.500000000000000	-60.057357788085937	109.000061035156250
34840.601562500000000	-45.456005096435547	12.101499557495117
34851.699218750000000	-43.390129089355469	11.000043869018555
34898.601562500000000	-47.984493255615234	46.898395538330078
34977.898437500000000	-40.015907287597656	79.402465820312500
34995.000000000000000	-46.063415527343750	17.097593307495117
35056.199218750000000	-62.215675354003906	61.203105926513672
35094.398437500000000	-65.107849121093750	38.199298858642578
35238.300781250000000	-56.560859680175781	143.898590087890620
35339.199218750000000	-47.302768707275391	100.800544738769530
35426.101562500000000	-60.850833892822266	86.999954223632813
35569.300781250000000	-46.635105133056641	143.101837158203120
35596.699218750000000	-68.607780456542969	27.499761581420898
35635.000000000000000	-53.891613006591797	38.296894073486328
35659.000000000000000	-51.198673248291016	23.902343750000000
35760.000000000000000	-64.609642028808594	101.097656250000000
35784.699218750000000	-57.550270080566406	24.703105926513672
35804.601562500000000	-52.892295837402344	19.898393630981445
35860.199218750000000	-49.272335052490234	55.601604461669922
35897.300781250000000	-68.570137023925781	37.097892761230469
36007.800781250000000	-41.133293151855469	110.500000000000000
36033.898437500000000	-67.331062316894531	26.101406097412109
36052.199218750000000	-57.186592102050781	18.300699234008789
36111.000000000000000	-64.657096862792969	58.796894073486328
36201.601562500000000	-60.698738098144531	90.601501464843750
36284.000000000000000	-42.334129333496094	82.398498535156250
36368.800781250000000	-48.121337890625000	84.801002502441406
36492.601562500000000	-47.277862548828125	123.800498962402340
36523.199218750000000	-54.514873504638672	30.500043869018555
36550.500000000000000	-62.449508666992188	27.398456573486328
36570.699218750000000	-58.415847778320313	20.203105926513672
36700.500000000000000	-59.163818359375000	129.796890258789060
36737.199218750000000	-65.712524414062500	36.703105926513672
36794.300781250000000	-53.851661682128906	57.000236511230469
36829.601562500000000	-62.663982391357422	35.398155212402344
36860.699218750000000	-60.509277343750000	31.101606369018555
36909.898437500000000	-59.433849334716797	49.199298858642578
36984.699218750000000	-42.038616180419922	74.699134826660156
37030.199218750000000	-50.091884613037109	45.500000000000000
37054.300781250000000	-57.973526000976563	24.199457168579102
37101.699218750000000	-43.293563842773438	47.402107238769531
37120.699218750000000	-56.845920562744141	18.898437500000000
37174.800781250000000	-65.938819885253906	54.199455261230469
37196.800781250000000	-60.579452514648438	22.000000000000000
