Event Start Time ms	Peak Amp uV	Time of Peak ms	Time of Antipeak ms	Interspike Interval ms
1448.099975585937500	-96.818283081054687	1448.500000000000000	1448.300048828125000	949.400024414062500
2031.199951171875000	-106.422134399414060	2031.599975585937500	2031.400024414062500	583.099975585937500
2881.600097656250000	-106.477020263671870	2882.000000000000000	2881.800048828125000	850.399963378906250
3232.600097656250000	-106.342224121093750	3232.899902343750000	3232.699951171875000	350.899902343750000
3542.899902343750000	-99.090339660644531	3543.199951171875000	3543.000000000000000	310.300140380859370
3950.100097656250000	-114.061462402343750	3950.500000000000000	3950.300048828125000	407.299957275390620
4167.500000000000000	-95.625320434570313	4167.899902343750000	4167.700195312500000	217.399902343750000
4704.200195312500000	-101.403190612792970	4704.600097656250000	4704.399902343750000	536.700195312500000
4911.700195312500000	-110.616058349609370	4912.100097656250000	4911.899902343750000	207.500000000000000
5164.799804687500000	-100.860717773437500	5165.200195312500000	5165.000000000000000	253.100280761718750
5510.000000000000000	-107.916351318359370	5510.399902343750000	5510.200195312500000	345.199523925781250
6611.399902343750000	-93.806129455566406	6611.700195312500000	6611.600097656250000	1101.300415039062500
7130.700195312500000	-113.681938171386720	7131.100097656250000	7130.899902343750000	519.399780273437500
7338.899902343750000	-114.475082397460940	7339.299804687500000	7339.100097656250000	208.199798583984370
7861.399902343750000	-102.172386169433590	7861.799804687500000	7861.600097656250000	522.500000000000000
8126.600097656250000	-112.510635375976560	8127.000000000000000	8126.799804687500000	265.200103759765620
9148.599609375000000	-110.868621826171870	9148.900390625000000	9148.799804687500000	1021.900268554687500
9181.299804687500000	-99.289207458496094	9181.599609375000000	9181.400390625000000	32.699523925781250
9385.599609375000000	-105.624023437500000	9386.000000000000000	9385.799804687500000	204.400085449218750
10197.900390625000000	-103.561172485351560	10198.200195312500000	10198.099609375000000	812.200439453125000
10316.599609375000000	-105.911109924316410	10316.900390625000000	10316.700195312500000	118.699974060058590
10585.200195312500000	-95.220405578613281	10585.599609375000000	10585.400390625000000	268.699340820312500
11257.799804687500000	-103.456207275390620	11258.099609375000000	11258.000000000000000	672.500183105468750
11504.599609375000000	-100.222488403320310	11504.900390625000000	11504.799804687500000	246.800476074218750
12137.400390625000000	-94.072296142578125	12137.799804687500000	12137.599609375000000	632.899658203125000
12553.700195312500000	-114.878425598144530	12554.099609375000000	12553.900390625000000	416.299713134765620
13310.900390625000000	-103.879844665527340	13311.299804687500000	13311.099609375000000	757.200317382812500
13817.299804687500000	-114.454010009765620	13817.700195312500000	13817.500000000000000	506.400482177734370
13986.599609375000000	-105.348098754882810	13987.000000000000000	13986.799804687500000	169.299499511718750
14177.200195312500000	-123.048034667968750	14177.599609375000000	14177.400390625000000	190.599716186523440
14707.099609375000000	-109.696952819824220	14707.500000000000000	14707.299804687500000	529.900268554687500
